Title,Column,Labels,Assignees,Initiative,Milestone
deck for non-IITB,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
"Connect with Nava, Rebecca (TBS) on product management",Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Scan current state
comment on delegation paper,Done Enough,Initiative: Product Management,remyb2canada,,Concept Briefing - IT Delegation of Authority/MOU
Budget for and get non-salary source of funds for Product Mgt Workshops,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Create a mockup of Sharepoint page,Done Enough,,ElminaIusifova,,SharePoint Configuration
MA - plan for Martin to present at SLF?,Done Enough,Initiative: Micro-acquisition,,,Micro-acquisition pilot: Fall launch
"Publish ""What we heard"" report",Done Enough,"Quarter 2, Initiative: IITB Diagnostic Study","ElminaIusifova, LeighGardner, JSantosPS",,IITB Diagnostic Study 2021
MA - brainstorm on external comms activities related to the fall launch,Done Enough,Initiative: Micro-acquisition,,,Micro-acquisition pilot: Fall launch
Process Director comments,Done Enough,Initiative: IITB Diagnostic Study,"ElminaIusifova, LeighGardner, JSantosPS",,IITB Diagnostic Study 2021
Create Presentation Deck,Done Enough,Initiative: IITB Diagnostic Study,"ElminaIusifova, philipe-girard, LeighGardner, JSantosPS",,
Create comment sheets for peer review,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Draft Pilot IITB Directive,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Draft Pilot IITB Standard on Product Management,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Blog - Product Management's Job Bank use case,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Take a course on Financial Delegation in GC Campus,Done Enough,Initiative: IT Delegation,ElminaIusifova,,Concept Briefing - IT Delegation of Authority/MOU
Project to product Framework,Done Enough,Initiative: Product Management,,,Product Mgt - Produce Framework
Prepare pilot,Done Enough,,,,Sharing Software Assessment Pilot - 1. Planning
Present initial pilot findings to Accessibility and Security teams,Done Enough,,gabrielcossette,,Sharing Software Assessment Pilot - 1. Planning
Get feedback from ARC,Done Enough,,,,Sharing Software Assessment Pilot - 1. Planning
Update draft Strategy,Done Enough,,,,Sharing Software Assessment Pilot - 1. Planning
Scope the Work - Propose to Daniel Desforges,Done Enough,Initiative: Software Assessment,"RachelMuston, philipe-girard",,Sharing Software Assessment Pilot - 1. Planning
Finalize mockups of file exchange format and GCcode collaboration space,Done Enough,,,,Sharing Software Assessment Pilot - 1. Planning
Refine SW Assessment file exchange format,Done Enough,,,,Sharing Software Assessment Pilot - 1. Planning
Peer Review - Pilot IITB Standard on Product Mgt,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Produce peer review kick-off presentation deck,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Peer Review Deck for Arch,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Address Job Bank's deck change,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Produce deck for CIOEC,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Connect with the Compliance Unit on Risks Reporting,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Get FINTRACT CIOC presented strategy on product management,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Scan current state
